tentinh,tenhuyen,tenxa,tendb,wb_poverty,count
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Bàu Lâm,Ấp 2B(Tổ 6+7+8),normal,11016
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Hội,"Ấp 5 (tổ 2,3,4)",extreme poverty,16150
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Hòa Hội,"Ấp 5 (tổ 2,3,4)",normal,8075
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Tân,"ấp Thạnh Sơn 2a gồm 1,3,11",extreme poverty,16268.266666666666
Bà Rịa - Vũng Tàu,Huyện Xuyên Mộc,Xã Phước Tân,"ấp Thạnh Sơn 2a gồm 1,3,11",normal,5915.733333333334
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Đất Đỏ,"KP Thanh Bình ( Tổ 13, 14, 15)",extreme poverty,3969.0666666666666
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Thị trấn Đất Đỏ,"KP Thanh Bình ( Tổ 13, 14, 15)",normal,25798.933333333334
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Long Mỹ,"Ấp Mỹ Hòa (Tổ 6, 9)",extreme poverty,19801.600000000002
Bà Rịa - Vũng Tàu,Huyện Đất Đỏ,Xã Long Mỹ,"Ấp Mỹ Hòa (Tổ 6, 9)",normal,3046.4
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Phường Kim Dinh,kp nam dinh ( tổ 5+6 ),extreme poverty,7138.133333333333
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Phường Kim Dinh,kp nam dinh ( tổ 5+6 ),normal,19629.866666666665
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Phường Long Tâm,khu phố 5 (tổ 1+8+9 ),normal,24327
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Phường Phước Hiệp,khu phố 4 (tổ 1+2+3),normal,24640
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Phường Phước Nguyên,Khu Phố 4 (tổ 6+14),normal,33831
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Long Phước,ấp phong phú (tổ 1+2+3),extreme poverty,7186.666666666666
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Long Phước,ấp phong phú (tổ 1+2+3),normal,14373.333333333332
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Tân Hưng,ấp phước tân 2 ( tổ 1+2+3),extreme poverty,7006.4
Bà Rịa - Vũng Tàu,Thành phố Bà Rịa,Xã Tân Hưng,ấp phước tân 2 ( tổ 1+2+3),normal,19267.6
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 1,Khu phố 4 (Tổ 37+41),normal,23348
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 10,Khu phố 3 (tổ 12),normal,34650
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 11,Khu phố 3( Tổ 43L+43M),normal,23382
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 12,Khu phố 5 ( tổ 55 ),extreme poverty,1416.6666666666667
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 12,Khu phố 5 ( tổ 55 ),normal,19833.333333333336
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 2,Khu phố 4 (Tổ 3+4) (năm 2022 tên mới đổi thành KP1 (tổ 5+6)),normal,10879
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 3,Khu phố 2 (Tổ 12+13+14),normal,28490
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 4,Khu phố 6( tổ 5+6),normal,22080
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 5,Khu phố 2 (9+10+11),normal,32518
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 7,Khu phố 4(Tổ 7+14+16),normal,26340
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường 8,"Khu phố 7 (Tổ 12, 13)",normal,20774
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Nguyễn An Ninh,Khu phố 4 (Tổ 7+8),normal,30744
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Rạch Dừa,Khu phố 9 (Tổ 3+4),extreme poverty,2117.2
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Rạch Dừa,Khu phố 9 (Tổ 3+4),normal,29640.799999999996
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Thắng Nhì,Khu phố 3 ( Tổ 24+25 ),normal,32406
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Thắng Nhất,"Khu Phố 1 (tổ 5,7)",normal,22320
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Phường Thắng Tam,Khu phố 4 (tổ 3+tổ 7),normal,22083
Bà Rịa - Vũng Tàu,Thành phố Vũng Tàu,Xã Long Sơn,Thôn 1 (Tổ 4+6+7),normal,22048
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Hắc Dịch,"KP Suối Nhum (tổ 5,6)",normal,26892
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Mỹ Xuân,Tổ 16,normal,23408
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Phú Mỹ,KP.Tân Hạnh Tổ 12,normal,25122
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Phường Tân Phước,"KP Song Vĩnh (TDP 10A, 10B, 11)",normal,19912
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tân Hoà,"Tổ: 4,5,6,7,8",normal,23171
Bà Rịa - Vũng Tàu,Thị xã Phú Mỹ,Xã Tóc Tiên,"Tổ 1,2 - Ấp 6",normal,21195
Bình Dương,Huyện Bàu Bàng,Thị trấn Lai Uyên,Tổ 2 (2) khu phố Đồng Sổ,normal,47006
Bình Dương,Huyện Bàu Bàng,Xã Hưng Hòa,Tổ 1+6+7 Ấp 6,extreme poverty,45843
Bình Dương,Huyện Bàu Bàng,Xã Long Nguyên,"Tổ 1,2,3 ấp Bưng Thuốc",extreme poverty,38412
Bình Dương,Huyện Bàu Bàng,Xã Long Nguyên,"Tổ 1,2,3 ấp Bưng Thuốc",normal,9603
Bình Dương,Huyện Bàu Bàng,Xã Trừ Văn Thố,Tổ 13(2) Ấp 4,normal,26760
Bình Dương,Huyện Bắc Tân Uyên,Xã Thường Tân,"Tổ 5, 6, 7, 8 - ấp 2",extreme poverty,32323.2
Bình Dương,Huyện Bắc Tân Uyên,Xã Thường Tân,"Tổ 5, 6, 7, 8 - ấp 2",normal,21548.8
Bình Dương,Huyện Dầu Tiếng,Thị trấn Dầu Tiếng,"Khu phố 4B (Tổ 16,15b)",extreme poverty,22032
Bình Dương,Huyện Dầu Tiếng,Thị trấn Dầu Tiếng,"Khu phố 4B (Tổ 16,15b)",normal,33048
Bình Dương,Huyện Dầu Tiếng,Xã Minh Tân,"Ấp Tân Định (Tổ 1,2,3,4)",extreme poverty,41158.4
Bình Dương,Huyện Dầu Tiếng,Xã Minh Tân,"Ấp Tân Định (Tổ 1,2,3,4)",normal,10289.6
Bình Dương,Huyện Dầu Tiếng,Xã Thanh An,"Ấp Cần Giăng (Tổ 7,8,9)",extreme poverty,46365
Bình Dương,Huyện Phú Giáo,Thị trấn Phước Vĩnh,"Khu phố 5 (Tổ 3,5,6)",extreme poverty,15918.933333333332
Bình Dương,Huyện Phú Giáo,Thị trấn Phước Vĩnh,"Khu phố 5 (Tổ 3,5,6)",normal,43777.066666666666
Bình Dương,Huyện Phú Giáo,Xã Tân Hiệp,Ấp 4 (Tổ 1 + tổ 2),extreme poverty,33818.4
Bình Dương,Huyện Phú Giáo,Xã Tân Hiệp,Ấp 4 (Tổ 1 + tổ 2),normal,12297.6
Bình Dương,Thành phố Dĩ An,Phường An Bình,Tổ 39 KP Bình Đường 1,normal,45066
Bình Dương,Thành phố Dĩ An,Phường Bình An,"Tổ 6, tổ 25, tổ 22 khu phố Bình Thung 1",normal,38860
Bình Dương,Thành phố Dĩ An,Phường Bình Thắng,"Tổ 8, khu dân cư Bình An, KP Ngãi Thắng",normal,60690
Bình Dương,Thành phố Dĩ An,Phường Dĩ An,"Tổ 11, khu phố Nhị Đồng 01 (ĐB 136)",normal,41457
Bình Dương,Thành phố Dĩ An,Phường Tân Bình,Tổ 11 khu phố Tân Thắng,normal,67602
Bình Dương,Thành phố Dĩ An,Phường Tân Đông Hiệp,Tổ 25 + tổ 34 khu phốTân Long,normal,71676
Bình Dương,Thành phố Dĩ An,Phường Đông Hòa,Tổ 6A khu phố Tân Hòa (ĐB 130),normal,29854
Bình Dương,Thành phố Thuận An,Phường An Phú,Tổ 9 cụm 1,normal,36315
Bình Dương,Thành phố Thuận An,Phường An Thạnh,Tổ 19 Nhóm N9,normal,55965
Bình Dương,Thành phố Thuận An,Phường Bình Chuẩn,Tổ 16 cụm 1,extreme poverty,10911.466666666667
Bình Dương,Thành phố Thuận An,Phường Bình Chuẩn,Tổ 16 cụm 1,normal,30006.533333333333
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,Tổ 5 cụm 2,normal,59928
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,tổ 10 - cụm 3,normal,48714
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,tổ 2A,normal,42902
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,tổ 2C - Cụm 3,normal,35216
Bình Dương,Thành phố Thuận An,Phường Bình Hòa,tổ 4 - Cụm 1,normal,44265
Bình Dương,Thành phố Thuận An,Phường Hưng Định,Tổ 15,normal,62671
Bình Dương,Thành phố Thuận An,Phường Hưng Định,Tổ 8,normal,47168
Bình Dương,Thành phố Thuận An,Phường Lái Thiêu,Tổ 1+2+3+4+5,normal,62899.99999999999
Bình Dương,Thành phố Thuận An,Phường Thuận Giao,Tổ 5 nhóm 6B,normal,41943
Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Mỹ,Tổ 1 + 3 Chánh lộc 3ĐB8,normal,40172
Bình Dương,Thành phố Thủ Dầu Một,Phường Chánh Nghĩa,"Khu phố 10 (tổ 92,93,94)ĐB2",normal,65229.00000000001
Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp An,"Khu phố 5 (tổ 38, 39, 40, 41)ĐB11",extreme poverty,17596
Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp An,"Khu phố 5 (tổ 38, 39, 40, 41)ĐB11",normal,48389
Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp An,"Khu phố 6 (tổ 43, 44)ĐB29",normal,66864
Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,"Tổ 67, 68, 69,70,75ĐB7",extreme poverty,3417.6
Bình Dương,Thành phố Thủ Dầu Một,Phường Hiệp Thành,"Tổ 67, 68, 69,70,75ĐB7",normal,22214.399999999998
Bình Dương,Thành phố Thủ Dầu Một,Phường Hoà Phú,"Tổ 1, Khu phố 1,ĐB66",normal,45486
Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Cường,"Tổ 44, 45, 46, 47, 48, 49, 50,Khu phố 07, ĐB21",normal,40032
Bình Dương,Thành phố Thủ Dầu Một,Phường Phú Hòa,từ 104/4 ĐLBD đến 27/1 D4 KTĐC tổ 5 DB85,normal,33291
